GKZ18;Gemeindename;Bez;GKZ17
41628;Vorderweißenbach;Urfahr-Umgebung;41625
41628;Schönegg;Urfahr-Umgebung;41340
40835;Bruck-Waasen;Grieskirchen;40803
40835;Peuerbach;Grieskirchen;40819
